repository_owner,repository_name
blt,Nomad
bluemold,actor
bluemold,benchmark
bluesky-joys,languages-exercise
bmatheny,finagle
bmatheny,finagle-starter-kit
bmc,argot
bmc,avsl
bmc,classutil
bmc,grizzled-scala
bmc,grizzled-slf4j
bmc,markwrap
bmc,sbt-editsource
bmc,sbt-izpack
bmc,sbt-lwm
bmc,sbt-plugins
bmc,scalasti
bmc,sqlshell
bmjames,guardian-management
bmjames,scalaz
bmjames,simplecache
bmjsmith,Play20
bmjsmith,lrn2scala
bobo12,SparkADMM
bobylito,Slidez
bono8106,bikove
bono8106,finaglefutures
boomah,OpenAnalyticalFramework
boundary,ordasity
boundary,overlock
boundary,scalang
bowmanb,scala_school
boyangli,Apprentice
bplawler,HelloDrools
bplawler,crawler
breakpoint-eval,breakpoint
breakpoint-eval,breakpoint-compilation-system
breakpoint-eval,frontend
brucespang,schemer
brunon,scarg
bryanjswift,twitter-favorites
bryanjswift,wknyc
bsadeh,elasticsearch-playground
bsadeh,scalastic
bseibel,sbt-simple-junit-xml-reporter-plugin
bstuder,CollFilter
btarbox,Log4ScalaFugue
btd,luna
btd,paramexample
btd,sbt-less-plugin
btd,sbt-plugins
bthuillier,7LanguagesIn7Weeks_Scala
btilford,js-maven
bubblefoundry,BFUrbanAirship
bugzmanov,OpenGenesis
buka,kula
bvenners,scala-ide
bwmcadams,hammersmith
bwmcadams,scala-decorator-plugin
bwmcadams,scalgore
c-schmidt,akka_OAuthProvider
cage433,maker
cageface,scala-hadoop-example
calwatson,datastructure
camomileann,ScalaTutorial
camptocamp,webspecs
caniszczyk,cassovary
caniszczyk,gizzard
caoilte,scala_dojo_02_funswithlists
caoilte,scala_dojo_03_funswithoo
caoilte,scala_dojo_04_implicitjava
capotej,backtofuture
capotej,finatra
capotej,finatra-helloworld
casualjim,akka-2.g8
casualjim,oauth2-server
casualjim,scala-websocket
casualjim,scalatra
cb372,Asakai
cb372,PageWatcher
cb372,dispatch-example
cbart,ml-lab-2012
cbmi,dataexpress
ccppjava,Twitter-Scala-School
cdegroot,Parens
cdegroot,scythe
cdow,Play20
cdxahz,cdxahz.github.com
ceedubs,scala-playground
cehtunger,mailer
cehtunger,name-compare
cengle,spark
centraleggcommand,Self-Organizing-Map
ceo2,hackathon
cesare,learning-netty-scala
cescoffier,Play20
cgis,scala-experimental
champness,thingy
channingwalton,fly-object-space
channingwalton,scala-contracts
charleehu,my-lift
charleso,Scala-XMPP-Bot
charleso,Scalatron
charleso,my-scalatron-bot
charleso,s99
charleso,scalatron
charroch,ColumnLayout
charroch,Scant
charroch,Selfoss
charroch,android-plugin
cheeseng,scala-ide
chenkelmann,actuarius
chentepixtol,play2-demo
chids,dropwizard-example
chilicat,scalatron
chilicat,scalatron-chili-bot
chimerast,scala-lwjgl-sample
chimerast,scala-tan-dash
chimerast,social-data
chirino,scalamd
chiusite,android-examples
chomukyu,LearningScala
choosenearme,finagle-rest
chpache,lmce.cluster
chris-twiner,scalesXml
chrish1,libgdx_raindrops
chrislewis,basic-project.g8
chrislewis,dotscala-project.g8
chrislewis,multi-project.g8
christian-posta,hello-scala
chrjoh,PlayBlog
chrreisinger,OpenVC
chrsan,css-selectors-scala
chtyim,norbert
chvitved,builder
chvitved,memorystore
citizen428,sbt-cloudbees-plugin
citizen428,scalatra-ageperiod
cjoakim,eboox
ckulkarni,scout
claeszombie,absence
clhodapp,scala
cliffmoon,scromium
cloudfoundry-samples,pocketchangeapp-prop
clsung,Play20
cm0s,Play20
cobaltolabs,ScalaPrimavera
codahale,fig
codahale,guild
codahale,jdub
codahale,jerkson
codahale,logula
codahale,reynolds
codahale,wasp
codahale,yoink
codecraft21,ch.codecraft.helloworld.wicket
codeport,scala
colder,bibimbap
colder,insane
colder,scala
colder,scalaircbot
comb,maven-android-scala-prototype
comb,rtm-scala
comcastrong,metricsd
conikeec,S3-Scala
conikeec,observer
conikeec,unfiltered
conikeec,unfiltered-core
conikeec,unfiltered-netty-template
conorfennell,everything
corruptmemory,scala
corruptmemory,scalaz
corruptmemory,sql-tools
covin,fu-berlin-itsec
cpennington,scala-wiki-test
crantok,scandroid-hello
crawshaw,saws
crazysim,Scala-For-the-Impatient-Exercises
creatary,creatary-scala-sdk
crispywalrus,justplayin
crispywalrus,scalatra-mongodb.g8
crottypeter,scala_dojo_02_funswithlists
crottypeter,scala_dojo_04_implicitjava
crschmidt,scalatron-bots
csf-ngs,bam2fq
csf-ngs,illuminaBackup
cstorey,diffa
ctalau,scala
ctalau,scala-opt-bench
ctcarrier,spray-rest-sbt.g8
ctran,scala-99-problems
ctsdh-luc-edu,standoff-webservice
curtiscallaghan,blueeyes
cvogt,scala
cvogt,slick
cyberzac,BarberShop
cyberzac,bitcex
cyberzac,svenska-bitcoin
cysnake4713,playdemo
czihong,Play20
d3zd3z,jpool
d40cht,Scalatest
d40cht,osmpiccolo
d6y,brightontide
d6y,cloudbees-lift-filter
d6y,lift-graph-example
d6y,lift_24_sbt
d6y,liftmodules-builder
d6y,liftmodules-googleanalytics
d6y,pamflet
d6y,sbt-cloudbees-plugin
daandi,PoRex
daandi,TikaSimpleExtractor
daandi,hOCR
dabreegster,sllvm
dacc,danandkendra.com
dacr,akka-sandbox
dacr,scala-drools-dummy-project
dacr,scala-dummy-project
dacr,simple-plugin-architecture
dacr,unittools
dadrox,fictus
dadrox,smf
daggerrz,Scwilio
daiksy,daiksyPlugin
dainkaplan,csx-downloader
dainkaplan,optparse
daithiocrualaoich,common
dalanhurst,mortimer
dalanhurst,type-safe-cqrs
damienobrist,scala
danberghjohnsson,wagtelwaw
danbills,EasyNet
daneko,scala-practice
danielberndt,Play20
danielhopkins,logback-hoptoad
danielkorzekwa,atpworldtour-api
danielkorzekwa,tennis-player-compare
danielkroeni,scala-async
danimaro,lab_scalatra
dankilman,scala-ide
dansimpson,satchel
daquila,InitialKick
darkhelmet,kindlebility2
daros,dispatch-tagsoup
dartov,kestrel
darwinrlo,General
dasbh,scala-mojo-support
datascience,google-analytics-export-to-csv
davegurnell,css-selector
davegurnell,frost
davegurnell,scalalol-2011-talk
davegurnell,tipi
davenatx,ProblemDocuments
daveray,rooscaloo
davetron5000,shorty
davidB,reabuilder
davidandrzej,scala
davidlar,sbt-release
dax,performance-reporter
daymo,linkshare
dbarowy,AutoMan
dbcfd,LQRest
dbcfd,LifeFinder
dbcfd,LocaQuest
dbcfd,MarkitScala
dboissin,AccountManager
dboissin,s-99
dbousamra,playtest
dcaoyuan,aiotrade
dcbriccetti,talking-puffin
dchenbecker,scalajpa
dcsobral,TagScala
dcsobral,scala
dcsobral,scala-foreach-benchmark
ddurnev,OpenGenesis
deanwampler,scala-hadoop
debasishg,cqrs-akka
debasishg,dsls_in_action
debasishg,recon
debasishg,scala-redis
debasishg,scouchdb
debasishg,sjson
debasishg,sjsonapp
debasishg,tryscalaz
defplus,HelloFugu
defplus,Trophygen
dehmer,android-scala-demo
dehmer,interruptible-SQL
delving,culture-hub
delving,culture-hub-1
delving,definitions
delving,play2-extensions
demian0311,scalakata
denibertovic,etb
denibertovic,kset-collective
denibertovic,name-compare
denibertovic,scala-oauth2
denkab,exploring-scala
derekjw,fyrie-redis
derekjw,williamsfamily
derekwyatt,sbt-book-compiler
derekwyatt,sbt-plugins
derferman,ScalaGraph
deshbir,foo
desrud,randmove
dfy,estimator-play2
dget,quala
dgreco,graphbase
dgreco,scalaz-camel
dgruntz,scala
dgruntz,snakey
dhgarrette,scalabha-unmanaged-lib
dhgarrette,tacc-scrunch
dhinojosa,cdi-scala
dickwall,subcut
diegopacheco,functional-society
dieu,salat
dikonikon,Intensity
dimbleby,sbt-scct
dimbleby,scala-protobuf
dimgel,lib.i18n
dimgel,lib.validator
dimitrisli,ScalaSpringMaven
dispatch,dispatch
dispatch,dispatch-lift-json
dispatch,reboot
divarvel,geocoding-api
djspiewak,anti-xml
djspiewak,cccp
djspiewak,ensime-sidekick
djspiewak,extreme-cleverness
djspiewak,gll-combinators
djspiewak,scala-collections
dkhenry,AkkaZeroMQExample
dkhenry,MineStat
dkristian,bfpg20120424
dlecan,Play20
dlecan,play2-war-plugin
dln,loglady
dlwh,Scalala
dlwh,oldsmr
dlwh,scala
dlwh,scalanlp-core
dlwh,scalanlp-fst
dlwh,smr
dmeister,fs-c
dmrzh,apache-maven.ru
dnoguchi,play20-demo
dnoguchi,retry-handler
dohzya,Play20
dohzya,scala
dongw,base2
dongw,finagle-starter
dontcare4free,Play20
dontcare4free,nina
